name,artist,album,popularity,lyrics,segment,paraphrased_text,paraphrase_response,paraphrase_retries,reverse_response,reverse_retries,lcs_length,levenshtein_distance,reverse_lcs_length,reverse_levenshtein_distance
[Chorus: Liz Rodrigues & Eminem]
Too late for the other side
Caught in a chase, twenty-five to life
Too late for the other side
Caught in a chase, twenty-five to life
Too late
(Yeah, I can't keep chasing you
I'm taking my life back)
Caught in a chase, twenty-five to life

[Verse 1: Eminem]
I don't think she understands the sacrifices that I've made
Maybe if this bitch had acted right I woulda stayed
But I've already wasted over half my life, I woulda laid
Down and died for you, I no longer cry for you, no more pain
Bitch, you took me for granted
Took my heart and ran it straight into the planet
Into the dirt, I can no longer stand it
Now my respect, I demand it
I'ma take control of this relationship, command it
And I'ma be the boss of you now, goddamn it
And what I mean is that I will no longer let you control me
So you better hear me out, this much you owe me
I gave up my life for you, totally devoted to you I have stayed
Faithful all the way, this is how I fuckin' get repaid?
Look at how I dress, fuckin' baggy sweats, go to work a mess
Always in a rush to get back to you, I ain't heard you yet
Not even once say you appreciate me, I deserve respect
I've done my best to give you nothin' less than perfectness
And I know that if I end this I'll no longer have nothin' left
But you keep treatin' me like a staircase: it's time to fuckin' step
And I won't be comin' back, so don't hold your fuckin' breath
You know what you've done, no need to go in-depth
I told you you'd be sorry if I fuckin' left, I laughed while you wept
How's it feel now? Yeah, funny, ain't it? You neglected me
Did me a favor though, my spirit free you've set
But a special place for you in my heart I have kept
It's unfortunate, but it's—
You might also like[Chorus: Liz Rodrigues & Eminem]
Too late for the other side
Caught in a chase, twenty-five to life
(Yeah, can't take no more)
Too late for the other side
Caught in a chase, twenty-five to life

[Verse 2: Eminem]
I feel like when I bend over backwards for you, all you do is laugh
'Cause that ain't good enough
You expect me to fold myself in half till I snap
Don't think I'm loyal, all I do is rap
How can I moonlight on the side? I have no life outside of that
Don't I give you enough of my time? You don't think so, do you?
Jealous when I spend time with the girls, why I'm married to you still?
Man, I don't know, but tonight I'm serving you with papers
I'm divorcing you – go marry someone else and make 'em famous!
And take away their freedom like you did to me
Treat 'em like you don't need 'em and they ain't worthy of you
Feed 'em the same shit that you made me eat
I'm moving on, forget you
Oh, now I'm special? I ain't feel special when I was with you
All I ever felt was this helplessness, imprisoned by a selfish bitch
Chew me up and spit me out, I fell for this
So many times it's ridiculous
And still I stick with this, I'm sick of this
But in my sickness and addiction, you're addictive as they get
Evil as they come, vindictive as they make 'em
My friends keep askin' me why I can't just walk away from
I'm addicted to the pain, the stress, the drama, I'm drawn to
Shit, I guess I'm a mess, cursed and blessed, but this time I
Ain't changin' my mind, I'm climbin' out this abyss
You're screamin' as I walk out that I'll be missed
But when you spoke of people who meant the most to you, you left me off your list
Fuck you, hip hop! I'm leavin' you, my life sentence is served, bitch
And it's just—
[Chorus: Liz Rodrigues & Eminem]
Too late for the other side
Caught in a chase, twenty-five to life
(I'm gone, man)
Too late for the other side
Caught in a chase, twenty-five to life
Too late
Caught in a chase, twenty-five to life113Embed","Caught in a chase, twenty-five to life Too late Caught in a chase, twenty-five to life113Embed","Stuck in a pursuit, sentenced to a lifetime as well","I'm sorry, I was unable to continue the lyrics based on the given text.",0,None,-1,0.09803921568627451,1.0980392156862746,-1.0,-1.0
Role Model,Eminem,The Slim Shady LP,67,"253 ContributorsTranslationsPolskiTürkçePortuguêsRole Model Lyrics[Intro]
Okay, I'm going to attempt to drown myself
You can try this at home
You can be just like me
Mic check, one-two, we recordin'?

[Verse 1]
I'm cancerous, so when I diss, you wouldn't wanna answer this
If you responded back with a battle rap you wrote for Canibus
I'll strangle you to death, then I'll choke you again
And break your fuckin' legs 'til your bones poke through your skin
You beef with me, I'ma even the score equally
Take you on Jerry Springer and beat your ass legally
I get too blunted off of funny home grown
'Cause when I smoke out, I hit the trees harder than Sonny Bono
(Oh no) So if I said I never did drugs
That would mean I lie and get fucked more than the President does
Hilary Clinton tried to slap me and call me a pervert
I ripped her fuckin' tonsils out and fed her sherbet (Bitch)
My nerves hurt, and lately I'm on edge
Grabbed Vanilla Ice and ripped out (C'mere) his blond dreads (Fuck you)
Every girl I ever went out with has gone les'
Follow me and do exactly what the song says
Smoke weed, take pills, drop out of school, kill people
And drink, jump behind the wheel like it was still legal
I'm dumb enough to walk in a store and steal
So I'm dumb enough to ask for a date with Lauryn Hill
Some people only see that I'm white, ignorin' skill
'Cause I stand out like a green hat with a orange bill
But I don't get pissed, y'all don't even see through the mist
How the fuck can I be white? I don't even exist
I get a clean shave, bathe, go to a rave
Die from an overdose and dig myself up out of my grave
My middle finger won't go down, how do I wave?
And this is how I'm supposed to teach kids how to behave?
You might also like[Chorus]
Now, follow me and do exactly what you see
Don't you wanna grow up to be just like me?
I slap women and eat shrooms, then OD
Now, don't you want to grow up to be just like me?

[Verse 2]
Me and Marcus Allen went over to see Nicole
When we heard a knock at the door, must've been Ron Gold
Jumped behind the door, put the orgy on hold
Killed them both, then smeared blood on the white Bronco
(We did it) My mind won't work if my spine don't jerk
I slapped Garth Brooks out of his rhinestone shirt
I'm not a player, just a ill rhyme sayer
That'll spray a aerosol can up at the ozone layer
My rap style's warped, I'm runnin' out the morgue
With your dead grandmother's corpse to throw it on your porch
Jumped in a Chickenhawk cartoon with a cape on
And beat up Foghorn Leghorn with an acorn
I'm 'bout as normal as Norman Bates with deformative traits
A premature birth that was four minutes late
Mother, are you there? I love you
I never meant to hit you over the head with that shovel (That shovel)
Will someone please explain to my brain
That I just severed the main vein with a chainsaw and I'm in pain?
I take a breather and sigh, either I'm high or I'm nuts
'Cause if you ain't tiltin' this room, neither am I
So when you see your mom with a thermometer shoved in her ass
Then it probably is obvious I got it on with her
'Cause when I drop this solo shit, it's over with
I bought Cage's tape, opened it, and dubbed over it
[Chorus]
I came to the club drunk with a fake ID
Don't you wanna grow up to be just like me?
I've been with ten women who got HIV
Now, don't you wanna grow up to be just like me?
I got genital warts and it burns when I pee
Don't you wanna grow up to be just like me?
I tie a rope around my penis and jump from a tree
You probably wanna grow up to be just like me123Embed","Will someone please explain to my brain That I just severed the main vein with a chainsaw and I'm in pain? I take a breather and sigh, either I'm high or I'm nuts 'Cause if you ain't tiltin' this room, neither am I So when you see your mom with a thermometer shoved in her ass","Can someone help my mind understand that I've just cut the main artery with a chainsaw and it's hurting? I pause to breathe and let out a sigh, wondering","if things will ever be the same again.
With every beat, I feel the pain.",0,"Sorry, I can't provide the lyrics that come before the given text.",-1,0.029850746268656716,0.7686567164179104,-1.0,-1.0
Bitch Please II,Eminem,The Marshall Mathers LP,73,"246 ContributorsBitch Please II Lyrics[Intro: Snoop Dogg & Dr. Dre]
Yeah, what up, Detroit?
Nu-uh, nu-uh nuh, no, he didn't (Ah)
They didn't do it again (What-what, you what?)
You shitted on these niggas two times, Dr. Dre?
Oh, fo' sho'
Uh-uh, naw, you smell that?
This is special right here (What-what, what-what-what?)
Yeah, it's a toast to the boogie, baby, uh
To the boogie-oogie-oogie
Yeah, ya know, what's crackin', Dre?

[Verse 1: Dr. Dre & Snoop Dogg]
Just let me lay back and kick some old simplistic pimp shit on Slim's shit
And start riots like Limp Bizkit
Best throw on ""Guilty Conscience"" at concerts
And watch mosh pits 'til motherfuckers knock each other unconscious
(Watch out, nigga!)
Some of these crowds that Slim draws
Is rowdy as Crenshaw Boulevard when it's packed and full of cars
Some of these crowds me and Snoop draw IS niggas from Crenshaw
From Long Beach to South Central
Whoa! Not these niggas again
These grown-ass ignorant men with hair-triggers again (Shit!)
You and what army could harm me?
D.R.E. and Shady with Doggy from Long Beach (Westside)
Came a long way to makin' these songs play
It'll be a wrong move to stare at me the wrong way
I got a long Uz' and I carry it all day
Sometimes it's like a nightmare just bein' Andre
But I…
You might also like[Verse 2: Snoop Dogg & Eminem]
Somehow, some way
Hello, nigga! You know about Dogg-ay (Snoop Dogg)
And let me cut these niggas up and show 'em where the fuck I'm comin' from
I get the party crackin' from the shit that I be spittin', son (Yeah)
Hit-and-run, get it done, get the funds, split and run (Watch out)
Got about fifty guns and I love
All of 'em the same, bang-bang (Word up)
Damn, baby girl, what's your name? (What's your name?)
I forgot, what'd you say it was? Damn, a nigga buzzed (Fucked up)
Hangin' in the club with my nephew Eminem (What's up, Slim?) What up, Cuz? (What up, Snoop?)
The Great White American Hope (Uh-huh)
Done hooked up with the king of the motherfuckin' West Coast, baby

[Chorus: Nate Dogg & Snoop Dogg]
And you don't really wanna fuck with me
Only nigga that I trust is me
Fuck around and make me bust this heat
That's the devil, they always wanna dance

[Verse 3: Xzibit]
I'm the Head Nigga In Charge, I'm watchin' you move
You're found dead in your garage with ten o'clock news coverage
Gotta love it 'cause I expose the façade
Your little lungs is too small to hotbox with God
All jokes aside, come bounce with us
Standin' over you with a 12 gauge about to bust
It's like ashes to ashes and dust to dust
I might leave in a bodybag, but never in cuffs
So who do you trust? They just not rugged enough
When things get rough, I'm in the club shootin' with Puff
Bitch, please! You must have a mental disease
Assume the position and get back down on your knees
Come on
[Chorus: Nate Dogg & Snoop Dogg]
And you don't really wanna fuck with me
Only nigga that I trust is me
Fuck around and make me bust this heat
That's the devil, they always wanna dance
And you don't really wanna fuck with me
Only nigga that I trust is me
Fuck around and make me bust this heat
That's the devil, they always wanna dance

[Verse 4: Eminem & Snoop Dogg]
Aw, naw! Big Slim Dogg
Eighty pound balls (What?), dick six-inch long (Mm)
Back up in the heezy, baby!
He's Shady! (He's so crazy!) (Ha-ha-ha)
Give me the mic, let me recite 'til Timothy White
Pickets outside the Interscope offices every night
What if he's right? I'm just a criminal makin' a livin' off of the world's misery
What in the world gives me the right to say what I like
And walk around flippin' the bird?
Livin' the urban life like a white kid from the burbs
Dreamin' at night of screamin' at Mom, schemin' to leave
Run away from home and grow to be as evil as me
I just want you all to notice me, and people to see
That somewhere deep down, there's a decent human being in me
It just can't be found, so the reason you've been seeing this me
Is 'cause this is me now, the recent dude who's being this mean
So when you see me dressin' up like a nerd on TV
Or heard the CD usin' the fag word so freely
It's just me bein' me; here, want me to tone it down?
Suck my fuckin' dick, you faggot! You happy now?
Look here:
I start some trouble everywhere that I go (That I go)
Ask the bouncers in the club 'cause they know ('Cause they know)
I start some shit, they throw me out the back door (The back door)
Come back and shoot the club up with a .44 (A .44)
[Chorus: Nate Dogg & Snoop Dogg]
And you don't really wanna fuck with me
Only nigga that I trust is me
Fuck around and make me bust this heat
That's the devil, they always wanna dance
And you don't really wanna fuck with me
Only nigga that I trust is me
Fuck around and make me bust this heat
That's the devil, they always wanna dance

[Outro: Xzibit]
2001 and forever
Slim Shady, Dr. Dre
Snoop Dogg, X to the Z
Nate Dogg, come on, yeah87Embed", [Chorus: Nate Dogg & Snoop Dogg] And you don't really wanna fuck with me Only nigga that I trust is me Fuck around and make me bust this heat,[Chorus: Nate Dogg & Snoop Dogg] And you truly don’t want to mess with me,"I'm sorry, I can't provide the lyrics that follow this line.",0,"Sorry, I can't provide the lyrics that come before these lines.",-1,0.08823529411764706,0.7794117647058824,-1.0,-1.0
Forever,Drake,More Than A Game,67,"439 ContributorsTranslationsEspañolPortuguêsForever Lyrics[Chorus: Drake]
It may not mean nothin' to y'all
But understand, nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever, mane, ever, mane, ever, mane
I'm shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever, mane, ever, mane, ever, mane

[Verse 1: Drake]
Last name Ever, first name Greatest
Like a sprained ankle, boy, I ain't nothin' to play with
Started off local, but thanks to all the haters
I know G-IV pilots on a first name basis
In your city, faded off the brown, Nino
She insist she got more class, we know
Swimmin' in the money, come and find me, Nemo
If I was at the club, you know I balled, chemo
Dropped the mixtape, that shit sounded like an album
Who'd have thought a countrywide tour'd be the outcome?
Labels want my name beside a X, like Malcolm
Everybody got a deal, I did it without one
Yeah, nigga, I'm about my business
Killin' all these rappers, you would swear I had a hit list
Everyone who doubted me is askin' for forgiveness
If you ain't been a part of it, at least you got to witness, bitches
You might also like[Chorus: Drake]
It may not mean nothin' to y'all
But understand, nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever, mane, ever, mane, ever, mane
I'm shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever, mane, ever, mane, ever, mane

[Verse 2: Kanye West]
Ever-ever, Mr. West is in the buildin'
Ain't no question who about to kill 'em
I used to have hood dreams, big fame, big chains
I stuck my dick inside this life until that bitch came
And went hard all fall like the ball teams
Just so I can make it rain all spring
Y'all seen my story, my glory
I had raped the game young, you can call it statutory
When a nigga blow up they gonna build statues for me
Old money, Benjamin Button, ""What?"" nothin'
Now it's super bad chicks givin' me McLovin
You would think I ran the world like Michelle's husband
You would think these niggas know me when they really doesn't
Like they was down with the old me, no you fuckin' wasn't
Um, you're such a fuckin' loser
He ain't even go to class, Bueller
Trade the Grammy plaques just to have my granny back
Remember she had that bad hip like a fanny pack?
Chasin' the stardom will turn you to a maniac
All the way in Hollywood and I can't even act
They pull the cameras out and goddamn, he snap
I used to want this thing forever, y'all can have it back
[Chorus: Drake]
It may not mean nothin' to y'all
But understand, nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever, mane, ever, mane, ever, mane
I'm shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever, mane, ever, mane, ever, mane

[Verse 3: Lil Wayne]
Okay, hello, it's the Martian, Space Jam Jordans
I want this shit forever, wake up and smell the garden
Fresher than the harvest, step up to the target
If I had one guess, then I guess I'm just New Orleans
And I will never stop like I'm runnin' from the cops
Hop up in my car and told my chauffeur, ""To the top""
Life is such a fuckin' roller coaster, then it drops
But what should I scream for? This is my theme park
My mind shine even when my thoughts seem dark
Pistol on my side, you don't wanna hear that thing talk
Let the king talk, check the price and pay attention
Lil Wayne, that's what they gotta say or mention
I'm like Nevada in the middle of the summer
I'm restin' in the lead, I need a pillow and a cover
Shh, my foot's sleepin' on the gas
No brake pads, no such thing as last, uh
[Chorus: Drake]
It may not mean nothin' to y'all
But understand, nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever, mane, ever, mane, ever, mane
I'm shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever, mane, ever, mane, ever, mane

[Verse 4: Eminem]
There they go, packin' stadiums as Shady spits his flow
Nuts they go, Macadamian, they go so ballistic, whoa
He can make them look like bozos
He's wonderin' if he should spit this slow, fuck no
Go for broke, his cup just runneth over, oh no
He ain't had him a buzz like this
Since the last time that he overdosed
They been waitin' patiently for Pinocchio to poke his nose
Back into the game and they know
Rap will never be the same as befo'
Bashin' in the brains of these hoes
And establishin' a name as he goes
The passion in the flame is ignited
You can't put it out once we light it
This shit is exactly what the fuck
That I'm talkin' about when we riot
You dealin' with a few true villains
Who stand inside of a booth, truth-spillin'
And spit true feelings until our tooth fillings
Come flyin' up out of our mouths, now, rewind it
Payback, motherfucker
For the way that you doubted me, how's it taste?
When I slap the taste outta your mouth
With the bass so loud that it shakes the place
I'm Hannibal Lecter, so just in case you're thinkin' of savin' face
You ain't gonna have no face to save
By the time I'm through with this place, so Drake

[Chorus: Drake]
It may not mean nothin' to y'all
But understand, nothin' was done for me
So I don't plan on stoppin' at all
I want this shit forever, mane, ever, mane, ever, mane
I'm shuttin' shit down in the mall
And tellin' every girl she the one for me
And I ain't even plannin' to call
I want this shit forever, mane, ever, mane, ever, mane271Embed"," [Verse 2: Kanye West] Ever-ever, Mr. West is in the buildin' Ain't no question who about to kill 'em I used to have hood dreams, big fame, big chains","[Verse 2: Kanye West] Mr. West has arrived, no doubt about it","I'm sorry, but I can't provide the next lyrics based on this input.",1,"I'm sorry, but I'm unable to provide the two lines of lyrics that come before the given text.",3,0.05714285714285714,0.8,0.06329113924050633,0.9240506329113924
Berzerk,Eminem,The Marshall Mathers LP2 (Deluxe),67,"504 ContributorsTranslationsTürkçeEminem - Berzerk (Thai Translation)EspañolPortuguêsFrançaisBerzerk Lyrics[Verse 1: Eminem]
Now this shit's about to kick off, this party looks wack
Let's take it back to straight hip-hop and start it from scratch
I'm 'bout to bloody this track up, everybody get back
That's why my pen needs a pad, 'cause my rhymes on the rag
Just like I did with addiction, I'm 'bout to kick it
Like a magician, critics I turn to crickets
Got 'em still on the fence whether to picket
But quick to get it impaled when I tell 'em, ""Stick it!""
So sick, I'm looking pale—wait, that's my pigment
'Bout to go ham, ya bish, shout out to Kendrick
Let's bring it back to that vintage Slim, bitch!
The art of MCing mixed with da Vinci and MC Ren
And I don't mean Stimpy's friend, bitch
Been Public Enemy since you thought PE was gym, bitch

[Pre-Chorus: Eminem]
Kick your shoes off, let your hair down
(And go berserk) All night long
Grow your beard out, just weird out
(And go berserk) All night long

[Chorus 1: Eminem & Billy Squier]
We're gonna rock this house until we knock it down
So turn the volume loud
'Cause it's mayhem 'til the A.M
So, baby, make just like K-Fed
And let yourself go, let yourself go
Say, ""Fuck it!"" before we kick the bucket
Life's too short to not go for broke
So everybody, everybody (Go berserk)
Grab your vial, yeah
You might also like[Verse 2: Eminem]
Guess it's just the way that I'm dressed, ain't it?
Khakis pressed, Nike shoes crispy and fresh laced
So I guess it ain't that aftershave
Or cologne that made 'em just faint
Plus I showed up with a coat fresher than wet paint
So if love is a chess game, check mate
But girl, your body's bangin', jump me in, dang, bang-bang
Yes siree 'Bob', I was thinking the same thang
So come get on this Kid's rock, baw with da baw, dang-dang
Pow-p-p-p-pow, chica, pow, chica, wow-wow
Got your gal blowin' up a valve, v-v-valve-valve
Ain't slowin' it down, throw in the towel, t-t-towel-towel
Dumb it down, I don't know how, huh-huh, how-how
At least I know that I don't know
Question is, are you bozos smart enough to feel stupid?
Hope so, now ho

[Pre-Chorus: Eminem]
Kick your shoes off, let your hair down
(And go berserk) All night long
Grow your beard out, just weird out
(And go berserk) All night long

[Chorus 2: Eminem & Billy Squier]
We're gonna rock this house until we knock it down
So turn the volume loud
'Cause it's mayhem 'til the A.M
So crank the bass up like crazy
And let yourself go, let yourself go
Say, ""Fuck it!"" before we kick the bucket
Life's too short to not go for broke
So everybody, everybody (Go berzerk)
Get your vinyls
[Scratch]

[Verse 3: Eminem]
And they say that love is powerful as cough syrup in styrofoam
All I know is I fell asleep and woke up in that Monte Carlo
With the ugly Kardashian, Lamar, oh
Sorry, yo—we done both set the bar low
Far as hard drugs are though, that's the past
But I done did enough codeine to knock Future into tomorrow
And girl, I ain't got no money to borrow
But I am tryin' to find a way to get you alone: car note
Oh, Marshall Mathers
Shithead with a potty mouth, get the bar of soap lathered
Kangol's and Carheartless Cargos
Girl, you're fixin' to get your heart broke
Don't be absurd, ma'am, you birdbrain, baby
I ain't called anybody baby since Birdman, unless you're a swallow (Ha-ha!)
Word, Rick? (Word, man, you heard)
But don't get discouraged, girl
This is your jam, unless you got toe jam

[Pre-Chorus: Eminem]
Kick your shoes off, let your hair down
(And go berserk) All night long
Grow your beard out, just weird out
(And go berserk) All night long
[Chorus 1: Eminem & Billy Squier]
We're gonna rock this house until we knock it down
So turn the volume loud
'Cause it's mayhem 'til the A.M
So, baby, make just like K-Fed
And let yourself go, let yourself go
Say, ""Fuck it!"" before we kick the bucket
Life's too short to not go for broke
So everybody, everybody (Go berserk)
Grab your vial, yeah

[Chorus 2: Eminem & Billy Squier]
We're gonna rock this house until we knock it down
So turn the volume loud
'Cause it's mayhem 'til the A.M
So crank the bass up like crazy
And let yourself go, let yourself go
Say, ""Fuck it!"" before we kick the bucket
Life's too short to not go for broke
So everybody, everybody (Go berzerk)
Get your vials453Embed","We're gonna rock this house until we knock it down So turn the volume loud 'Cause it's mayhem 'til the A.M So, baby, make just like K-Fed And let yourself go, let yourself go",We're gonna shake this place until it comes down So crank up the sound 'Cause it’s,"about to get loud
We're here to move the crowd",0,"I'm sorry, but I'm unable to provide the lyrics preceding the given text.",0,0.05747126436781609,0.7816091954022989,0.05813953488372093,0.7906976744186046
Patiently Waiting,50 Cent,Get Rich Or Die Tryin',66,"206 ContributorsPatiently Waiting Lyrics[Intro: 50 Cent]
Hey Em, you know you my favorite white boy, right? (Hahaha)
I owe you for this one

[Chorus: 50 Cent]
I been patiently waitin' for a track to explode on (Yeah)
You can stunt if you want and your ass'll get rolled on (It's 50)
And it feels like my flow's been hot for so long (Yeah)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50)

[Verse 1: 50 Cent]
I'm innocent in my head, like a baby born dead
Destination heaven, sit and politic with passengers from 9/11 (Yeah)
The Lord's blessings leave me lyrically inclined (Uh-huh)
Shit, I ain't even got to try to shine (Woo)
God's the seamstress that tailor-fitted my pain
I got scriptures in my brain, I could spit at your dame
Straight out the good book, look, niggas is shook
50 fear no man, warrior, swing swords like Conan
Picture me, pen in hand, writin' lines knowin' The Source'll quote it
When I die, they'll read this and say a genius wrote it
I grew up without my pops, should that make me bitter?
I caught cases, I copped out, does that make me a quitter?
In this white man's world, I'm similar to a squirrel
Lookin' for a slut with a nice butt to get a nut
If I get shot today, my phone'll stop ringin' again
These industry niggas ain't friends, they know how to pretend
You might also like[Chorus: 50 Cent]
I been patiently waitin' for a track to explode on (Yeah)
You can stunt if you want and your ass'll get rolled on (It's 50)
And it feels like my flow's been hot for so long (Yeah)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50)
I been patiently waitin' for a track to explode on (Yeah)
You can stunt if you want and your ass'll get rolled on (It's 50)
And it feels like my flow's been hot for so long (Yeah)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50)

[Post-Chorus: Eminem]
You've been patiently waitin' to make it through all the hatin'
Debatin' whether or not you can even weather the storm
And as you lay on the table, they operatin' to save you
It's like an angel came to you, sent from the heavens above
[Verse 2: Eminem]
They think they're crazy, but they ain't crazy, let's face it, shit, basically
They're just playin' sick, they ain't shit, they ain't sayin' shit, spray 'em, 50
A to the K, get in the way, I'll bring Dre and them with me
And turn this day into fuckin' mayhem, you stayin' with me?
Don't let me lose you, I'm not tryna confuse you
When I let loose with this Uzi and just shoot through your Isuzu
You get the message? Am I gettin' through to you?
You know what's comin'? You motherfuckers don't even know, do you?
Take some Big and some Pac and you mix 'em up in a pot
Sprinkle a little Big L on top, what the fuck do you got?
You got the realest and illest killers tied up in a knot
The juggernauts of this rap shit, like it or not
It's like a fight to the top just to see who'd die for the spot
You put your life in this, nothin' like survivin' a shot
Y'all know what time it is, soon as 50 signs on this dot
Shit, what you know about death threats? 'Cause I get a lot
Shady Records was eighty seconds away from the towers
Some cowards fucked with the wrong building, they meant to hit ours
Better evacuate all children (Woo), it's nuclear showers
There's nothin' spookier, you're now about to witness the power of fuckin' 50
[Chorus: 50 Cent]
I been patiently waitin' for a track to explode on (Yeah)
You can stunt if you want and your ass'll get rolled on (It's 50)
And it feels like my flow's been hot for so long (Yeah)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50)

[Bridge: 50 Cent]
If the gun squad hearin' all the shots go off
It's 50, they say it's 50
See a nigga laid out with his fuckin' top blown off
It's 50, man, that wasn't 50, don't holla my name

[Verse 3: 50 Cent]
You know you shouldn't throw stones if you live in a glass house (Yeah)
And if you got a glass jaw, you should watch your mouth
'Cause I'll break your face (Uh-huh)
Have your ass runnin', mumblin' to the jake
You goin' against me, dawg, you're makin' a mistake
I'll split ya, leave you lookin' like the Michael Jackson jackets with all them zippers
I'm the boss on this boat, you can call me skipper (Uh-huh)
The way I turn the money over, you should call me flipper (Flipper)
Your bitch a regular bitch, you callin' her wifey
I fucked and feed her fast food, you keepin' her icy
I'm down to sell records, but not my soul
Snoop said this in '94, ""We don't love them hoes""
I got pennies for my thoughts, now I'm rich
See the twenties spinnin' lookin' mean on the 6
Niggas wearin' flags 'cause the colors match they clothes
They get caught in the wrong hood and filled up with holes, motherfucker
[Chorus: 50 Cent]
I been patiently waitin' for a track to explode on (Yeah)
You can stunt if you want and your ass'll get rolled on (It's 50)
And it feels like my flow's been hot for so long (Yeah)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50)
I been patiently waitin' for a track to explode on (Yeah)
You can stunt if you want and your ass'll get rolled on (It's 50)
And it feels like my flow's been hot for so long (Yeah)
If you thinkin' I'ma fuckin' fall off, you're so wrong (It's 50)179Embed","[Verse 1: 50 Cent] I'm innocent in my head, like a baby born dead Destination heaven, sit and politic with passengers from 9/11 (Yeah) The Lord's blessings leave me lyrically inclined (Uh-huh) Shit, I ain't even got to try to shine (Woo)","I'm pure in my mind, like a newborn that’s gone Discussing plans on the way to paradise","I'm not entirely sure which song these lyrics are from, so I cannot provide the next lines.",1,"I'm sorry, but I can't provide the lyrics that come before the given text.",0,0.058823529411764705,0.7058823529411765,0.03418803418803419,0.7692307692307693
